"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_554_1","X_21868_1","X_35794_1","X_9487_1","X_9530_1","X_9519_1","X_3210_1","X_1608_1","X_945_1","X_928_1","X_675_1","X_649_1","X_610_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_301_1","X_9677_1","X_613_1","X_735_1","X_1496_1","X_1589_1","X_1779_1","X_9568_1","X_9631_1","X_R34914A_1","X_9945_1","X_10003_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_607_1","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1","X_523_1"
"AARD",1,1,3,29,46,1,8,3,14,22,23,13,5,1,12,4,1,30,30,3,0,42,8,3,2,1,4,3,1,59,11,2,37,44,6,10,5,5,2,15,3,4,0,12,1,5,0,1,5,9,2,0,9,4,0,2,25,64,60,64,20,5,4,6,5,8,22,17,0,1
"ABLIM3",0,0,1,0,0,1,8,0,0,0,8,1,0,1,0,53,63,0,0,0,98,1,2,3,0,1,5,0,0,1,0,1,1,0,5,1,0,0,2,2,3,1,0,0,1,1,2,2,0,0,2,3,2,0,4,3,71,0,0,3,2,0,1,2,0,0,0,0,1,2
"ACCSL",0,4,0,2,4,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,2,1,0,0,3,0,0,0,2,7,2,1,0,1,0,0,1,1,0,4,2,1,0,1,0,1,2,5,0,1,0,6,0,3,1,1,4,15,0,0,0,0,0,0,3,3,2,3
"ACTBP1",1,1,0,2,0,1,0,2,3,0,0,0,0,0,2,2,0,1,0,0,1,2,0,0,0,2,1,4,1,0,1,0,0,1,0,1,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
"ADAMTS10",0,0,0,0,8,1,0,7,2,1,0,0,0,0,0,0,0,0,0,2,0,10,0,5,14,0,0,3,13,19,1,1,0,0,5,0,0,0,0,0,0,12,7,18,3,1,3,14,1,1,1,1,0,0,1,0,0,16,1,9,0,0,0,0,7,4,5,2,1,0
"ADAMTS7P3",1,1,0,2,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,2,1,1,0,0,0,2,0,3,1,1,0,1,0,1,0,1,0,1,1,1,0,0
"ADCY1",7,17,328,1348,961,119,56,130,283,259,574,558,298,158,477,212,220,2533,2626,127,39,813,49,14,53,23,9,297,18,11,347,37,1072,1439,1010,568,352,960,1056,696,10,11,37,7,34,501,9,26,54,191,20,13,295,236,69,50,608,328,505,196,464,110,85,272,47,63,634,618,81,27
"ADCY10",3,2,0,3,5,0,4,0,1,2,1,4,1,1,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,1,2,2,0,1,0,1,2,2,0,2,0,0,0,3,2,0,0,0,1,1,1,2,5,2,5,0,2,3,2,3,3,4,3,5,3,0
"ADD2",0,0,18,2,2,30,18,21,7,2,20,16,23,1,0,11,7,1,1,2,0,8,6,38,0,3,15,1,2,2,1,8,0,3,3,15,2,2,2,15,2,16,56,7,8,1,1,22,21,10,55,0,0,13,51,1,4,3,4,3,1,0,0,0,1,0,1,1,68,15
"ADRA2A",0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,5,0,2,0,0,0,0,1,0,0,1,0,0
