"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ASH2LP2",2.99600688131827,29.8924468151556,3.29856065566017,9.06226986120797,1.27763642180473e-19,2.3298977788031e-15
"IGHV4-80",28.5742007443977,5.44156570698173,0.675549839193781,8.05501739660813,7.94675055825562e-16,7.24584715901747e-12
"IGLV1-47",311.192383238689,4.30138661223983,0.71602350366162,6.00732600290812,1.88608040179441e-09,8.59864055178073e-06
"IGLV2-18",50.1890610652764,5.18659635074899,0.856817404502111,6.05332749252786,1.4188400267603e-09,8.59864055178073e-06
"IGLV1-44",768.373358695638,4.53226702847276,0.868225055900752,5.22015230690468,1.78776044453419e-07,0.00065203198933051
"IGLV3-10",76.5732020376434,5.07110276483537,1.00901202220695,5.02581005302956,5.01311899489724e-07,0.00152365396651577
"PHYHD1",11.1000888879567,4.09310089250298,0.821484151988015,4.98256829738901,6.27458330580103e-07,0.00163461858806554
"IGHV4-39",1226.50064260183,3.6813435415663,0.770839878347513,4.77575647676425,1.79032945743298e-06,0.00408105599821848
"IGHA2",1813.95071111521,2.86118647367066,0.602853822626216,4.74607005261483,2.07406905787426e-06,0.00420252481548834
"IGHJ2P",5.02515004778312,4.27187649481274,0.908796770010352,4.70058503262955,2.59417203446133e-06,0.00473073212204369
"BTN1A1",15.7642285103793,-1.28673895960948,0.279607770187721,-4.60194278129538,4.185682058747e-06,0.00693909982030094
"IGHV3-73",42.3213963274528,4.80214280313026,1.05257780446566,4.56226872992828,5.06038203524143e-06,0.00709854821497406
"IGLV7-46",98.026100281128,4.87082439269452,1.06728056776288,4.56377127047693,5.02428168081333e-06,0.00709854821497406
"IGHV1-18",1266.30442710876,4.35873346401851,0.975971666272194,4.46604508578314,7.96788252619438e-06,0.0103787361248343
"HLA-U",58.7539908921049,-2.73801604024745,0.617455851742358,-4.43435110789091,9.23500168584609e-06,0.0105255931714431
"OVCH1-AS1",23.1288879489996,-2.64353260487085,0.594371657608466,-4.44760878321059,8.68314878302339e-06,0.0105255931714431
"RAP1GAP",28.7256954040272,1.27643404004235,0.290723053796299,4.39054978053686,1.13064426275512e-05,0.0121284875150603
"IGHV1-3",229.242499132138,2.84632178490282,0.653613299435713,4.35474888188497,1.33219546605035e-05,0.0127862718520496
"IGKV2-30",113.776853571445,4.53796781332266,1.04137814240908,4.35765609870083,1.31462733407408e-05,0.0127862718520496
"NLGN4X",6.84806725815485,3.30441461791966,0.771454059454189,4.28335890831603,1.84092853350405e-05,0.0159862727318952
"AMOT",72.3578067521548,2.35442506653076,0.563645549693605,4.17713768486349,2.95200351297064e-05,0.0244694254829693
"TRAT1",21.714472641369,-2.73007401919657,0.660759809020419,-4.13171924491582,3.60060036192389e-05,0.0285480644348017
"IGHD4-23",1.97154711873921,3.50430519826626,0.862394136323481,4.0634612999639,4.83503417699937e-05,0.0342011037940889
"MTUS1",25.3276794792762,-2.08840919619317,0.514198859843713,-4.06148157704575,4.87622668702738e-05,0.0342011037940889
"ZNF300",53.153588663432,-1.58265410554348,0.389186391001502,-4.06657103674874,4.77099466738274e-05,0.0342011037940889
"IGHJ2",76.9257856946437,3.69211708817364,0.913110711175531,4.04344954339703,5.26704950652054e-05,0.035574042518855
"TMEM132D",3.0819098302466,1.4762329738147,0.3675212121492,4.01672862685107,5.90116121182679e-05,0.0384334199495976
"IL18",11.0831631720395,-1.74266586526499,0.438064217820467,-3.97810593600958,6.94664226046339e-05,0.0423650121412411
"RAVER2",5.83856833289406,2.09346941000596,0.526350970158942,3.97732602140696,6.96945801840991e-05,0.0423650121412411
"IGHV5-51",1604.60061341742,3.49573527238875,0.883627290092395,3.95611963503665,7.61770228149919e-05,0.0448117480017482
"RNF130",54.0271004975153,1.75639604170438,0.444975927640364,3.94717092005015,7.90801033820558e-05,0.045065773914849
