"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5S_rRNA",0.666049529554309,-0.131860100932426,0.52941916559202,-0.24906559773856,0.803310040061806,NA
"5_8S_rRNA",0,NA,NA,NA,NA,NA
"7SK",0.079016775536696,-0.00851960158932222,3.30124425294482,-0.00258072439860287,0.997940882132336,NA
"A1BG",4.2423317786362,-0.207088207029024,0.225329023655419,-0.919048082086892,0.358070423261253,0.886064912436148
"A1BG-AS1",46.0353024200594,0.0163549049547056,0.098336698845027,0.166315375102025,0.867908766971709,0.987754278081908
"A1CF",0.580229691321767,0.0721503958131719,0.650395317511884,0.110933141537959,0.911669364640377,NA
"A2M",10.2522627967671,0.635213376516634,0.337014638162939,1.88482429125088,0.0594535642448503,0.673413166191982
"A2M-AS1",0.422954881042665,-0.287851979770518,0.729517696443088,-0.394578474482524,0.69315400206,NA
"A2ML1",0.455044933089518,0.450885797755407,0.847139891166286,0.532244795053456,0.59455646161091,NA
"A2ML1-AS1",0.00715232625901769,0.167930077946517,3.30124425294482,0.0508687225420288,0.959430129025152,NA
"A2ML1-AS2",0.024664271921751,0.274736881577277,3.30124425294482,0.0832222218432346,0.933674843552987,NA
"A2MP1",0.370768644081344,-0.283491131469643,0.782287879359329,-0.362387222082252,0.717062686837929,NA
"A3GALT2",0.171840712962656,-0.1033243092611,1.46702076987898,-0.0704313881456659,0.943850309145375,NA
"A4GALT",398.307469214515,-0.312631905623103,0.21561597740037,-1.44994777006987,0.147073084668314,0.785833405381943
"A4GNT",0.170048006579392,-0.289242542443915,1.66985251404672,-0.173214424633804,0.862482885802215,NA
"AA06",0.0123077914547512,-0.0461102188428096,3.30124425294482,-0.0139675271836301,0.988855888062937,NA
"AAAS",934.59693408509,0.073046916130318,0.0457793981853663,1.5956285802304,0.110571742667198,0.752483101683259
"AACS",868.605058029829,0.0296641593847915,0.055729385501742,0.532289367946903,0.594525594833885,0.949640981082515
"AACSP1",0.214133940347894,-0.468102326860841,1.47814054218872,-0.316683233765926,0.751483972014824,NA
"AADAC",0.081215770002064,-0.128242562826645,3.30124425294482,-0.0388467356549725,0.969012583270247,NA
"AADACL2",0.212682261245552,0.480247722796883,1.79769097066628,0.267146985012051,0.789355992897533,NA
"AADACL2-AS1",0.00973243844122472,-0.0147942360825312,3.30124425294482,-0.00448141214311368,0.996424362408707,NA
"AADACL3",0.0235607312840067,0.188949772668639,3.30124425294482,0.0572359262723712,0.954357260028724,NA
"AADACL4",0.0221482000939778,0.188949772668639,3.30124425294482,0.0572359262723712,0.954357260028724,NA
"AADACP1",0,NA,NA,NA,NA,NA
"AADAT",0.28791320897484,-0.618086578251006,0.814780641086486,-0.75859261632285,0.448096290957332,NA
"AAGAB",847.690996771865,-0.0471521379691938,0.0704869763328481,-0.668948228769746,0.503528503465121,0.928211485377563
"AAK1",809.889614614472,-0.0571697950833526,0.0770901156397836,-0.741596955833975,0.458331568498024,0.914134745082497
"AAMDC",31.2651370700754,-0.18313382700762,0.0960555869517431,-1.90654008599857,0.0565801700093351,0.661296518796744
"AAMP",1238.43149960964,0.044710454393025,0.0342140955383709,1.30678463625854,0.191285864496425,0.821035055152534
"AANAT",6.97796411162659,-0.0393899820454645,0.242807669216895,-0.162227091806883,0.871127026197817,0.987754278081908
"AAR2",615.719406269418,0.0920667081607627,0.0460060830055787,2.00118554212926,0.0453723984453119,0.637966333727086
"AARD",10.4383275926384,-1.0167475492489,0.434999306226649,-2.33735441573127,0.0194207632784888,0.519379838766658
"AARS1",4480.72613663686,0.0026497898078992,0.0832874189405184,0.0318150068954785,0.974619578922936,0.996992216634573
"AARS1P1",0,NA,NA,NA,NA,NA
"AARS2",566.954961639279,0.100268385465028,0.0461536735984152,2.17248980736542,0.029818737618637,0.575968818784292
"AARSD1",29.1456464174432,0.0211221806681272,0.0964948305785915,0.218894427208968,0.826732287649862,0.983743354092712
"AARSD1P1",1.25925906372294,0.0374970513037802,0.399764288179057,0.0937979014448259,0.925269698741235,0.994145576400498
"AASDH",267.569290717792,0.0292607335131729,0.0772872860473792,0.378596985476179,0.704987161052981,0.968389338782943
"AASDHPPT",657.51960016272,-0.0504772323420091,0.0598658273103147,-0.84317271822471,0.399131854022749,0.897232712186741
"AASS",71.4840403985246,-0.23425385653824,0.290535139754643,-0.806284075434275,0.420079070425694,0.906076787684558
"AATBC",10.7903480567046,0.880110611825689,0.283547481438245,3.1039267475115,0.00190970606674072,0.211063029291417
"AATF",1532.46959921364,0.00881805398667701,0.0352104057007272,0.250438863489008,0.802247978224891,0.981241763225623
"AATK",3.44667413162792,0.450854041034254,0.366116471545067,1.23144976004926,0.218154695940169,0.835521878627404
"ABALON",0.256243832337259,0.339015637275632,1.04266572798942,0.325143167340272,0.745072719492914,NA
"ABAT",128.785935108975,0.178743794323514,0.141769011732668,1.26081004684274,0.207377293168786,0.832822494092185
"ABCA1",15.6098759241319,0.43077242145589,0.277523186604817,1.55220335542375,0.120613573494498,0.760878048138853
"ABCA10",65.6094568455274,-0.130668011384239,0.216325155282309,-0.604035213628827,0.545820230768759,0.937465683677466
"ABCA11P",8.86596623628534,0.0117623584086129,0.177935991513892,0.0661044362556331,0.947294678957956,0.996846182438628
"ABCA12",100.806813232869,-0.527588289243502,0.394770895865374,-1.33644170522495,0.181404942442326,0.81409989402229
"ABCA13",4.38245671220289,-0.392764103220481,0.453770527014719,-0.865556663198051,0.386733329734778,0.894022316702518
"ABCA17P",3.07256479717024,-0.169092581982566,0.306253844498676,-0.552132112037198,0.580857842349879,0.9476779649203
"ABCA2",46.9532263050523,0.314482617989752,0.23776307221921,1.32267225122246,0.185944395322125,0.816812132465065
"ABCA3",120.004637150145,0.141165289450485,0.250922762163944,0.562584630557559,0.573717760154072,0.945447051705192
"ABCA4",1.99230559427901,0.233849258728917,0.566931791608704,0.412482175440109,0.679986042753433,0.962629907357647
"ABCA5",860.294213370921,-0.0984555016724345,0.134603739134964,-0.731447003665442,0.464506163928547,0.914696542103568
"ABCA6",496.969461375868,0.0129923624087093,0.169512288689741,0.0766455488810566,0.938905522734565,0.9959204317344
"ABCA7",686.540016455416,0.0779730983355081,0.103971765583445,0.749944928779044,0.453287873450834,0.913527752940859
"ABCA8",5.69013367291996,0.210337503165072,0.316031280930645,0.665559126127239,0.505692939479208,0.928401937414964
"ABCA9",30.3568718828273,-0.191150156271759,0.149373968083159,-1.27967515842748,0.200659404773128,0.827152074664301
"ABCA9-AS1",0.501031497823753,-0.310496471146379,0.656958992319411,-0.472626868307507,0.636479410029052,NA
"ABCB1",72.0541997577846,-0.244587602607717,0.300356076483358,-0.814325468195642,0.415458523373248,0.904872858582135
"ABCB10",535.8694871913,-0.0598589835018566,0.0605681122314044,-0.988292045047754,0.323009640217893,0.8749334260405
"ABCB10P1",0.122504884410372,-0.155356146287639,2.43673519682901,-0.063755859270145,0.949164625911,NA
"ABCB10P3",0.00799735282093149,0,3.30124425294482,0,1,NA
