"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_554_1","X_21868_1","X_35794_1","X_9487_1","X_9530_1","X_9519_1","X_3210_1","X_1608_1","X_945_1","X_928_1","X_675_1","X_649_1","X_610_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_301_1","X_9677_1","X_613_1","X_735_1","X_1496_1","X_1589_1","X_1779_1","X_9568_1","X_9631_1","X_R34914A_1","X_9945_1","X_10003_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_607_1","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1","X_523_1"
"AARD",4.71775678528571,4.72105744327729,4.95216463155403,5.62057449398303,5.94070535708989,4.72032517237783,5.11269589735394,4.90606525189103,5.50749293607882,5.76057720591255,5.80066821952891,5.49232406908532,5.11144650319044,4.65125984688721,5.30953474728493,4.9769197577293,4.69944573646948,5.93281532095915,5.9432473826881,5.10338060277462,4.43642469970343,5.81866691078157,5.51913365113246,5.11379241409769,4.9864662133097,4.83761373651259,5.16742483329932,5.15358882741396,4.79489181351919,7.05016556967527,5.64802342394279,4.98173350303389,6.13238470357867,6.08540434759399,4.9748765314517,5.33603576906764,5.0821655766555,5.10273556730071,4.85324902195592,5.45776496336647,5.16254389281819,5.2229883394613,4.43642469970343,5.76406956868253,4.81987415110427,5.29269031608505,4.43642469970343,4.82572400324091,5.32221348199334,5.44360180373331,4.97917645446303,4.43642469970343,5.34511169068386,5.03262085843968,4.43642469970343,5.00075862894125,5.49830930227323,6.11651903840072,6.05027103714281,6.28286254480092,5.4259269882515,5.06890107177183,4.94366279710105,5.17797857629837,5.01692982560217,5.20889450908712,5.80708017649361,5.68946862850889,4.43642469970343,4.91322168920301
"ABLIM3",4.43642469970343,4.43642469970343,4.73524091852036,4.43642469970343,4.43642469970343,4.72032517237783,5.11269589735394,4.43642469970343,4.43642469970343,4.43642469970343,5.26009380313876,4.73532388580381,4.43642469970343,4.65125984688721,4.43642469970343,6.28607414413914,6.37727678209233,4.43642469970343,4.43642469970343,4.43642469970343,6.47357366445457,4.65774403355446,4.98722180095718,5.11379241409769,4.43642469970343,4.83761373651259,5.25159142967408,4.43642469970343,4.43642469970343,4.82402243227105,4.43642469970343,4.82315678400107,4.73106020822224,4.43642469970343,4.92843188477848,4.7250565201026,4.43642469970343,4.43642469970343,4.85324902195592,4.81610560961567,5.16254389281819,4.83334256902884,4.43642469970343,4.43642469970343,4.81987415110427,4.82383861077602,5.04587958970013,4.98533209176738,4.43642469970343,4.43642469970343,4.97917645446303,5.12399086956498,4.87026325745748,4.43642469970343,4.98635431438704,5.12543782273291,6.16191578258882,4.43642469970343,4.43642469970343,4.8624887320474,4.7548554369105,4.43642469970343,4.69102157813117,4.86768228453592,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.70277927026603,5.10771808273844
"ACCSL",4.43642469970343,5.00296658501558,4.43642469970343,4.7555496900003,4.89840585688288,4.83727805978251,4.67743739678853,4.43642469970343,4.43642469970343,4.72825134109499,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.69199960060338,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.8237656411637,4.43642469970343,4.87777448860059,4.98722180095718,4.82988465682343,4.43642469970343,4.43642469970343,5.07115165936464,4.43642469970343,4.43642469970343,4.43642469970343,4.96540065369388,5.44219628483209,4.85238446388417,4.69841222316805,4.43642469970343,4.7250565201026,4.43642469970343,4.43642469970343,4.731674706654,4.70528586591511,4.43642469970343,5.2229883394613,5.01389256496831,4.8321089716127,4.43642469970343,4.82383861077602,4.43642469970343,4.82572400324091,5.00186182893476,5.19374299850991,4.43642469970343,4.83588151344031,4.43642469970343,5.16408227557861,4.43642469970343,5.12543782273291,4.65342361624057,4.65828788020326,4.87351287392938,5.37591049072897,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.95896370071213,4.97635392431107,4.81257581067408,5.25500021101363
"ACTBP1",4.71775678528571,4.72105744327729,4.43642469970343,4.7555496900003,4.43642469970343,4.72032517237783,4.43642469970343,4.82044526351183,4.94112062116199,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.79739270084652,4.81972313562008,4.43642469970343,4.72157492375647,4.43642469970343,4.43642469970343,4.6595126925563,4.74911211782299,4.43642469970343,4.43642469970343,4.43642469970343,5.00199303531711,4.80484529845317,5.26178545741172,4.79489181351919,4.43642469970343,4.81150865634893,4.43642469970343,4.43642469970343,4.69841222316805,4.43642469970343,4.7250565201026,4.72713338905432,4.43642469970343,4.946051762941,4.43642469970343,4.85858100445372,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.82383861077602,4.43642469970343,4.82572400324091,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.83673260693111,4.65342361624057,4.65828788020326,4.65559475576232,4.43642469970343,4.66181727485139,4.72108529068848,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.7493615545922,4.43642469970343,4.43642469970343
"ADAMTS10",4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,5.08703257805005,4.72032517237783,4.43642469970343,5.14969750689542,4.84920229437201,4.72825134109499,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.98258700332811,4.43642469970343,5.13027783016497,4.43642469970343,5.30574561332315,5.84402803159662,4.43642469970343,4.43642469970343,5.15358882741396,5.69220237540544,6.04619225511908,4.81150865634893,4.82315678400107,4.43642469970343,4.43642469970343,4.92843188477848,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,5.76796256455477,5.49976195671592,6.03706863683192,5.09675612482967,4.82383861077602,5.18015135633748,5.84130295043331,4.83752007860272,4.77820988420702,4.82133277405889,4.83588151344031,4.43642469970343,4.43642469970343,4.712635168776,4.43642469970343,4.43642469970343,5.31128572635941,4.65559475576232,5.16917257389776,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,5.12147657487535,4.98586508368865,5.10861636293648,4.87812520639473,4.70277927026603,4.43642469970343
"ADAMTS7P3",4.71775678528571,4.72105744327729,4.43642469970343,4.7555496900003,4.43642469970343,4.43642469970343,4.67743739678853,4.70836783190094,4.43642469970343,4.43642469970343,4.73109443420412,4.73532388580381,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.69944573646948,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.9864662133097,4.83761373651259,4.43642469970343,4.85330412145056,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.69841222316805,4.65730902259377,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.70528586591511,4.43642469970343,4.83334256902884,4.43642469970343,4.8321089716127,4.43642469970343,4.43642469970343,4.86896413272205,4.98533209176738,4.83752007860272,4.77820988420702,4.43642469970343,4.43642469970343,4.43642469970343,4.85948777985385,4.43642469970343,5.12543782273291,4.65342361624057,4.65828788020326,4.43642469970343,4.68300753626299,4.43642469970343,4.72108529068848,4.43642469970343,4.74193532901226,4.43642469970343,4.71238723694969,4.73920849164734,4.7493615545922,4.43642469970343,4.43642469970343
"ADCY1",5.17388422391049,5.58159773337481,8.4417682371933,9.56919910987575,9.18109805720638,7.12985174064279,6.14117208923162,7.13205318430523,8.20080727245209,8.08649503439924,9.13636153310368,9.13680546404268,8.36448668496479,6.84845318725221,8.51960708631268,7.67218056432542,7.64184459260532,11.0984412043838,11.1708756980568,7.91148863427162,5.78172351854615,8.8371731811787,6.87751756826769,5.85530420814666,6.95349957497758,6.24573996244634,5.51910640749949,9.18781180982559,5.8978912255515,5.68634982089699,9.11158459936587,6.59021725883134,9.98626095350752,10.0676566960126,9.11916698421874,9.06695712632238,8.4614132760001,9.88483668230613,9.97125643402539,9.14814455858097,5.73217519038496,5.71477519734746,6.69802957344804,5.46468787040274,6.4987517278609,9.69641730320141,5.69829791663951,6.29605518491756,7.02981149432487,8.10219702923395,6.07362076946997,5.82685098555092,8.37884858037116,8.03784363957144,6.54230691546765,6.94709070626462,8.41073520750834,7.70977660613222,8.20235406451649,7.3639932406226,8.16684417262977,7.05310675136604,6.58314030971287,8.26146112750992,6.12942235237172,6.46011252375184,9.34307978595746,9.39801608435916,6.62196018791343,6.68925671642207
"ADCY10",4.92218081748286,4.83830868965431,4.43642469970343,4.82687599782811,4.95239077618837,4.43642469970343,4.91678876135472,4.43642469970343,4.72879854267097,4.84843234313411,4.73109443420412,5.03107442953971,4.74050165905005,4.65125984688721,4.69199960060338,4.7078549650352,4.43642469970343,4.43642469970343,4.43642469970343,4.8237656411637,4.43642469970343,4.65774403355446,4.98722180095718,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.79489181351919,4.82402243227105,4.43642469970343,4.43642469970343,4.43642469970343,4.69841222316805,4.74849871070124,4.8439367174247,4.43642469970343,4.73652213081928,4.43642469970343,4.70528586591511,5.03135183346553,4.99600893631095,4.43642469970343,4.99428039286477,4.43642469970343,4.43642469970343,4.43642469970343,5.10671346570584,5.00186182893476,4.43642469970343,4.43642469970343,4.43642469970343,4.7437705388725,4.73610939237003,4.712635168776,5.00075862894125,4.9198418346737,4.7498789838462,4.92464231817073,4.43642469970343,4.7548554369105,4.92789163099539,4.79601491404104,4.96363547568522,4.88728466866744,4.98586508368865,4.95896370071213,5.13082301697559,4.89646824870615,4.43642469970343
"ADD2",4.43642469970343,4.43642469970343,5.66866268234569,4.7555496900003,4.76378944338591,5.92676539063324,5.43979956228559,5.64850656874186,5.20227361183083,4.84843234313411,5.71433107018793,5.60218579352376,5.84126256734992,4.65125984688721,4.43642469970343,5.32392491681373,5.12667469846456,4.72157492375647,4.72373271703732,4.98258700332811,4.43642469970343,5.05820094230687,5.37936410617671,6.64678059138873,4.43642469970343,5.12693572341732,5.81423112617447,4.85330412145056,4.94208652488822,4.9829469679745,4.81150865634893,5.50869480357517,4.43642469970343,4.88896657537108,4.81826585845619,5.52980098513067,4.84685926090615,4.86006837502123,4.85324902195592,5.45776496336647,5.03135183346553,5.95764970901678,7.11218883497498,5.46468787040274,5.49993418224239,4.82383861077602,4.86896413272205,6.16303967594435,6.17354462168145,5.49581130054489,6.96368859385031,4.43642469970343,4.43642469970343,5.49499049991029,6.28326405930953,4.83673260693111,4.86920719504599,4.81995143533555,4.87351287392938,4.8624887320474,4.66181727485139,4.43642469970343,4.43642469970343,4.43642469970343,4.69743327377195,4.43642469970343,4.73920849164734,4.7493615545922,6.46473630620852,6.182861862468
"ADRA2A",4.43642469970343,4.43642469970343,4.73524091852036,4.43642469970343,4.66815427895802,4.43642469970343,4.67743739678853,4.43642469970343,4.43642469970343,4.84843234313411,4.43642469970343,4.43642469970343,4.74050165905005,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.80484529845317,4.43642469970343,4.43642469970343,4.82402243227105,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.7250565201026,4.43642469970343,4.43642469970343,4.43642469970343,4.70528586591511,4.43642469970343,4.99600893631095,4.84610956623015,4.43642469970343,4.43642469970343,4.98268929109321,4.86896413272205,4.43642469970343,4.43642469970343,4.77820988420702,4.43642469970343,4.43642469970343,4.7437705388725,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.93059545269067,4.43642469970343,4.78472364083332,4.43642469970343,4.43642469970343,4.43642469970343,4.43642469970343,4.69743327377195,4.43642469970343,4.43642469970343,4.7493615545922,4.43642469970343,4.43642469970343
