"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"ABCA4",0,0,0,5,3,0,2,0,0,0,0,1,0,1,4,0,0,0,1,0,7,11,10,0,1,0,2,2,1,11,0,12,1,8,22,6,4,1,1,0,2,0,0,1,1,3
"ABCA8",0,0,0,16,2,0,3,1,3,1,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,2,0,1,0,3,2,5,3,1,0,0,1,0,0,1,0,0
"ABCA9-AS1",0,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,4,3,0,3,3,0,1,0,1,1,2,0,2,3,1,0,0,0,0,1,0,1,1,0,0,2
"ABCC9",15,28,39,3,1,1,20,0,0,0,150,175,32,1,2,4,4,0,0,632,2,15,12,30,4,1,2,10,7,0,0,1,6,1378,1,2,0,1,0,0,4,5,3,1,2,9
"ABCF2P1",1,1,0,1,2,0,1,1,1,0,0,0,0,2,1,0,2,1,0,1,2,1,0,2,0,1,0,1,2,0,2,1,1,2,6,9,1,6,0,1,4,3,0,0,0,1
"ABCG2",0,1,8,0,1,20,9,16,4,2,6,4,4,3,1,8,10,2,1,3,4,7,7,5,1,0,3,0,2,2,1,3,5,3,1,2,0,2,2,2,0,4,5,3,3,6
"ABHD17AP5",5,7,2,0,2,7,0,4,9,9,7,9,4,5,0,0,1,0,0,20,17,0,0,5,0,1,6,11,0,1,0,2,8,43,1,12,15,1,0,0,1,1,1,0,0,4
"ACAN",0,0,1,0,0,1,4,1,2,0,2,1,3,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
"ACSM4",4,1,1,0,11,1,3,0,9,4,10,5,2,0,6,0,2,0,0,15,5,0,0,15,0,10,0,0,0,2,0,3,0,11,0,5,3,12,1,5,0,0,0,0,1,1
"ACVR1C",0,0,1,0,14,23,4,27,2,4,13,12,3,14,1,0,1,3,7,0,5,2,3,0,10,0,1,5,13,2,3,1,2,5,12,1,3,1,2,4,1,4,5,3,10,1
