"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGKV1D-13",237.48384483534,9.77887670290488,1.43496900797471,6.81469540356599,9.44636967922968e-12,1.44351898220867e-07
"OSBPL6",20.8866695925052,2.7882585853459,0.413547419083937,6.74229473254183,1.55904415402168e-11,1.44351898220867e-07
"FRG1EP",16.7838213412347,-2.32908822205711,0.402834818531237,-5.78174506004503,7.39296865600038e-09,4.5634331190605e-05
"ADAM23",290.206377568714,-3.73511267993086,0.683449911988265,-5.46508619638976,4.62681919782993e-08,0.000214198594763537
"IGKV1-9",129.479162287739,6.94607900321788,1.29381846110981,5.36866586156121,7.93212224724595e-08,0.000293774079549001
"IGHEP1",22.3773904227245,-3.74313138839692,0.71547289785969,-5.2316885791123,1.67968558533089e-07,0.000444348823845105
"IGHV1-24",2463.5898824689,5.88838946253114,1.12347176595183,5.24124383094077,1.59497787894025e-07,0.000444348823845105
"LHX2",89.6728991197683,2.45750158830321,0.48043645752479,5.11514384433743,3.13501954452753e-07,0.000725678649069511
"TRABD2A",28.0304690598246,1.40955548389547,0.303696801137315,4.64132476409638,3.46182532230048e-06,0.00515843327671758
"AEBP1",25.4616233086195,2.00634991072877,0.444534570059496,4.51337206566465,6.38049440688295e-06,0.00587456012064832
"CKMT1B",1.63988746268618,2.55642294117698,0.567378704279808,4.50567305733114,6.61628913402011e-06,0.00587456012064832
"FERMT2",62.7416644497722,-1.69526779214173,0.376827094284603,-4.49879485274315,6.83397641778501e-06,0.00587456012064832
"GIPC2",7.83430553168106,2.32496464091294,0.518846661038594,4.48102457912897,7.42855547596136e-06,0.00587456012064832
"HEPHL1",6.31182668449084,-2.00445243480026,0.439789413675998,-4.55775508111021,5.1703278438505e-06,0.00587456012064832
"HSBP1L1",117.44422716097,-1.28295562615048,0.282213012764111,-4.54605410850718,5.46609897344238e-06,0.00587456012064832
"IGLV2-8",1548.75061074796,5.51486602185241,1.21104112340252,4.55382225696674,5.26798710740354e-06,0.00587456012064832
"KLHL33",13.1961564993752,1.39697090283073,0.311471615456465,4.48506648281081,7.28912035948259e-06,0.00587456012064832
"UTS2",9.15907198715676,8.94428221534264,1.99837844961021,4.47576995092558,7.61364309836697e-06,0.00587456012064832
"MYH10",1334.56810104547,-1.19951958415955,0.271488432540925,-4.41830826062442,9.94764742499775e-06,0.00682261240800401
"HSPA12B",6.60335861465741,1.85879290212838,0.430932918466731,4.31341589949081,1.60751306532519e-05,0.0102648023943765
"IGHV4-39",1737.40259368635,4.48587969369385,1.05457662506235,4.2537257009927,2.10242819143731e-05,0.0125589565319471
"PPP4R4",11.2978172782296,-2.92902941422958,0.692375595488825,-4.23040533680517,2.33270594991889e-05,0.0134990777439369
"OR7D2",2.94867573960957,2.52577645829272,0.600882220436832,4.20344681933927,2.6288093637305e-05,0.0147516035750186
"IGKV2D-29",2783.24182250124,7.81239560881601,1.86331548788624,4.19273905015325,2.75606411017521e-05,0.0150108221153601
"PCDHGB7",15.0575131163312,-1.14462362850758,0.276657974358557,-4.13732382434101,3.51380049970183e-05,0.0185910164724224
"SELP",14.9717831512485,2.7001399543333,0.654985749976433,4.12244076215468,3.7487903246385e-05,0.0192833608976821
"LDLRAD3",8.54273361879827,-1.94480100559025,0.477553407769981,-4.07242619139048,4.65259460329656e-05,0.0232856072604988
"PCDHGA11",42.9632605564566,-1.14834632529539,0.29019532813437,-3.95714959533626,7.58494332916389e-05,0.0351144951423642
"GEM",110.412347776178,-1.52996626812816,0.394016759887939,-3.88299794293851,0.000103176441316084,0.0430972194305648
"HHEX",28.5467418768469,-1.53111985199269,0.392550675711227,-3.90043871206842,9.60185319662847e-05,0.0430972194305648
"IGHV3-22",8.93971919509706,4.94115642576461,1.27370212643277,3.87936576631398,0.00010472917563319,0.0430972194305648
"SULT1A1",11.6345984140038,-1.95222210258599,0.501695369924864,-3.8912499887698,9.97291157015506e-05,0.0430972194305648
"S100A9",29.5761701602744,2.63029457225395,0.680850790317697,3.86324670494486,0.000111889905165982,0.045042983997036
"FRAS1",20.5819427120782,3.02045102123516,0.783105048355054,3.857018962628,0.000114778261278209,0.0452226349436143
"SHISA3",57.0368323325971,-1.74509603308829,0.45319611881049,-3.85064205242681,0.000117808575421669,0.0452839168125827
"CXCL9",63.128612323257,-2.26055192020394,0.593758833549962,-3.80718869762083,0.000140555499228616,0.0484237556781943
"HAPLN3",117.805274526413,1.05151358563805,0.277878763452907,3.7840732144191,0.000154282405498081,0.0484237556781943
"MMP7",399.214399208356,2.59368570929048,0.684597646411661,3.78862785007422,0.000151481631471846,0.0484237556781943
"OBSCN",30.148876081199,1.1251794129966,0.296172987455938,3.7990615641948,0.000145245012833422,0.0484237556781943
"TLDC2",8.89110285430692,1.08981924129821,0.286806268140959,3.79984457230407,0.000144786867931758,0.0484237556781943
"TPRG1",282.883462701901,-1.81880837278312,0.476406660730559,-3.81776436541424,0.000134666452019545,0.0484237556781943
"FRG1DP",31.140630494158,-1.09836651480242,0.292196987762835,-3.75899328467383,0.000170598416113093,0.0493615854622228
"GNAQ",5.96315721882357,-2.76629139063033,0.734025296563787,-3.76865947751425,0.000164126610176593,0.0493615854622228
"NEFLP1",5.98981583933092,2.0499228816366,0.543268582310617,3.77331387896189,0.000161093407908456,0.0493615854622228
"PTGER2",17.7534049008477,2.16556066639695,0.575997128849726,3.75967267531628,0.000170135813576074,0.0493615854622228
"SCGB3A1",2.85698803259124,3.34006776939034,0.887279671280565,3.76439118070833,0.000166955352720336,0.0493615854622228
