"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"ABCA4",6.88251642249517,6.88251642249517,6.88251642249517,7.12978112995417,7.07953146579704,6.88251642249517,7.04999625546489,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02973485012266,6.88251642249517,6.98842114981722,7.13370347495832,6.88251642249517,6.88251642249517,6.88251642249517,7.02355713349501,6.88251642249517,7.16836661900246,7.36206140538766,7.28868015000307,6.88251642249517,7.02512955972127,6.88251642249517,7.09176345666682,7.08845304027549,7.01553307530002,7.43970057228278,6.88251642249517,7.39320826795584,7.01770717879645,7.18302419043145,7.39169014892152,7.14539764727241,7.12400904542697,6.99304132484168,7.02225867516453,6.88251642249517,7.09428934727395,6.88251642249517,6.88251642249517,7.03134754725511,7.03609233859106,7.10819687047203
"ABCA8",6.88251642249517,6.88251642249517,6.88251642249517,7.32365795077659,7.04342014818346,6.88251642249517,7.08757902052123,7.01586875958707,7.13115888821541,7.02614332177148,6.88251642249517,7.02973485012266,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02222630029508,7.02355713349501,6.99205727042064,7.03548816429966,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.0254244185942,6.88251642249517,6.88251642249517,6.88251642249517,7.12130719731741,6.88251642249517,7.03064629731265,6.88251642249517,7.06674675139881,7.03676262821885,7.12254823354241,7.09171608710464,6.99304132484168,6.88251642249517,6.88251642249517,7.03232965149577,6.88251642249517,6.88251642249517,7.03134754725511,6.88251642249517,6.88251642249517
"ABCA9-AS1",6.88251642249517,7.08139313128756,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.00097577778185,6.88251642249517,6.88251642249517,6.88251642249517,7.02770159063958,7.02973485012266,6.88251642249517,6.98842114981722,6.88251642249517,7.01584430872047,6.88251642249517,6.88251642249517,7.02355713349501,6.88251642249517,7.09875003411434,7.13378740608912,6.88251642249517,7.0706453437943,7.12932911345143,6.88251642249517,7.03054120406999,6.88251642249517,7.01553307530002,7.05146325442701,7.0955416530648,6.88251642249517,7.07363520252118,7.06674675139881,6.99161092150749,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.00731504888788,6.88251642249517,7.01085033621719,7.01831177784575,6.88251642249517,6.88251642249517,7.06684626697479
"ABCC9",7.41727046021262,7.61920443759308,7.78226761405857,7.07414045950772,6.99632200645322,7.02198274911663,7.40949700492845,6.88251642249517,6.88251642249517,6.88251642249517,8.56452072020552,8.70687169356813,7.7136212015799,6.98842114981722,7.06024451447365,7.14888857567468,7.14031180333338,6.88251642249517,6.88251642249517,9.33199481271958,7.03548816429966,7.44158122160732,7.32715544182082,7.47370878036323,7.16739578530597,7.0254244185942,7.09176345666682,7.34145816307822,7.23370236718697,6.88251642249517,6.88251642249517,7.03064629731265,7.21306249562642,10.1142663567741,6.99161092150749,7.03443083231288,6.88251642249517,6.99304132484168,6.88251642249517,6.88251642249517,7.18174090473745,7.16910296495337,7.11754772153865,7.03134754725511,7.09960326487039,7.2726156034704
"ABCF2P1",7.02132754647573,7.02319911887061,6.88251642249517,6.99320480521288,7.04342014818346,6.88251642249517,7.00097577778185,7.01586875958707,7.02618857320042,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03225473467316,7.00822886922516,6.88251642249517,7.06492637586565,7.02222630029508,6.88251642249517,6.99205727042064,7.03548816429966,7.02770994019145,6.88251642249517,7.03615928266531,6.88251642249517,7.0254244185942,6.88251642249517,7.0281973615599,7.07056386657249,6.88251642249517,7.0955416530648,7.03064629731265,7.01770717879645,7.03297389020179,7.14942513701995,7.20425729586813,7.00336841381108,7.15291628910576,6.88251642249517,7.00731504888788,7.18174090473745,7.10465108392363,6.88251642249517,6.88251642249517,6.88251642249517,7.01290160221246
"ABCG2",6.88251642249517,7.02319911887061,7.29525088966737,6.88251642249517,6.99632200645322,7.50170830677081,7.23710117168275,7.41312007501415,7.169506048924,7.08555182689731,7.23740066445224,7.17657176789448,7.17990954482582,7.0658665635453,7.00822886922516,7.25869229435319,7.28932017605464,7.08001897663787,7.02355713349501,7.07215575659054,7.09875003411434,7.26569721525018,7.22267229415598,7.12527543565635,7.02512955972127,6.88251642249517,7.13867870841408,6.88251642249517,7.07056386657249,7.12130719731741,7.03321636310788,7.1388602585634,7.18437185637201,7.06674675139881,6.99161092150749,7.03443083231288,6.88251642249517,7.03878406206631,7.08006470811182,7.05895339179514,6.88251642249517,7.13893125274086,7.18571786651647,7.14007166108168,7.14826744444221,7.20135304034871
"ABHD17AP5",7.1924310405911,7.2538494759698,7.08941079588879,6.88251642249517,7.04342014818346,7.25065374411157,6.88251642249517,7.14893732172805,7.31212197783035,7.31198754759705,7.26567529004856,7.32265447279239,7.17990954482582,7.1191145379089,6.88251642249517,6.88251642249517,7.01154266507189,6.88251642249517,6.88251642249517,7.37019053045442,7.32695134709688,6.88251642249517,6.88251642249517,7.12527543565635,6.88251642249517,7.0254244185942,7.24431188135767,7.36365787995088,6.88251642249517,7.05146325442701,6.88251642249517,7.09191188596673,7.26392186268188,7.57384183598706,6.99161092150749,7.25377589455821,7.34868044267462,6.99304132484168,6.88251642249517,6.88251642249517,7.03232965149577,7.01085033621719,7.01831177784575,6.88251642249517,6.88251642249517,7.14302148764388
"ACAN",6.88251642249517,6.88251642249517,7.02887546223115,6.88251642249517,6.88251642249517,7.02198274911663,7.11923605616469,7.01586875958707,7.08561574305141,6.88251642249517,7.08775280172427,7.02973485012266,7.14018007362608,7.03225473467316,6.88251642249517,6.88251642249517,7.06492637586565,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01133846323741,6.88251642249517,7.02512955972127,6.88251642249517,6.88251642249517,6.88251642249517,7.07056386657249,6.88251642249517,6.88251642249517,6.88251642249517,7.01770717879645,6.98893001332082,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.00731504888788,7.03232965149577,6.88251642249517,6.88251642249517,7.03134754725511,6.88251642249517,6.88251642249517
"ACSM4",7.15981869980313,7.02319911887061,7.02887546223115,6.88251642249517,7.25899558191226,7.02198274911663,7.08757902052123,6.88251642249517,7.31212197783035,7.1694158801272,7.33990798987969,7.21113877334357,7.09299093066128,6.88251642249517,7.18996310362149,6.88251642249517,7.06492637586565,6.88251642249517,6.88251642249517,7.30535317850876,7.12421653975697,6.88251642249517,6.88251642249517,7.30200429191092,6.88251642249517,7.33278623939736,6.88251642249517,6.88251642249517,6.88251642249517,7.12130719731741,6.88251642249517,7.1388602585634,6.88251642249517,7.23465559353811,6.88251642249517,7.12254823354241,7.09171608710464,7.26436399848444,7.02225867516453,7.16122803156818,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03609233859106,7.01290160221246
"ACVR1C",6.88251642249517,6.88251642249517,7.02887546223115,6.88251642249517,7.30691642319117,7.54577737206382,7.11923605616469,7.56918230526216,7.08561574305141,7.1694158801272,7.40337649299374,7.39009537317637,7.14018007362608,7.27762863423118,7.00822886922516,6.88251642249517,7.01154266507189,7.12431249461075,7.25479000344494,6.88251642249517,7.12421653975697,7.08776459487831,7.10549487304036,6.88251642249517,7.33186390241158,6.88251642249517,7.03054120406999,7.20771839201914,7.36010101534588,7.12130719731741,7.14329987506753,7.03064629731265,7.07363520252118,7.1202493259907,7.25944790539641,6.98996093350711,7.09171608710464,6.99304132484168,7.08006470811182,7.13188097222362,7.03232965149577,7.13893125274086,7.18571786651647,7.14007166108168,7.3661279858599,7.01290160221246
