"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"5S_rRNA",1,0,0,1,2,0,2,1,0,0,2,0,2,1,2,3,1,2,0,1,2,1,1,2,0,1,1,2,0,0,0,0,0,3,1,1,1,0,0,0,1,1,0,2,1,1
"AATBC",2,2,9,18,122,12,12,11,16,10,14,12,4,19,15,6,9,3,5,11,15,3,5,3,9,9,4,4,8,29,9,52,11,30,20,6,13,14,7,10,8,15,5,14,10,8
"AATK",1,0,4,0,6,3,0,5,2,0,3,1,3,1,0,1,2,1,1,2,4,1,4,4,3,0,0,0,5,7,1,12,9,2,4,4,0,1,2,1,3,1,1,7,1,4
"ABCC8",0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,10,0,2,0,0,0,1,1,0,0,2,0,0
"ABHD14A-ACY1",1,1,0,1,0,0,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1
"ABHD17AP4",0,0,3,1,2,0,0,0,0,0,1,1,1,1,0,0,1,0,0,4,4,0,1,0,0,0,0,3,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,1,0,0
"ABLIM3",0,0,1,0,0,1,8,0,0,0,8,1,0,1,0,53,63,0,0,98,1,1,0,5,1,0,0,2,2,0,2,0,4,71,0,0,3,2,0,1,2,0,0,0,0,1
"ABO",0,0,0,0,1,0,5,3,1,2,3,2,1,0,2,0,0,0,0,1,0,5,4,3,1,1,0,0,3,2,4,1,4,2,0,15,4,2,2,6,6,0,0,1,0,7
"ACCSL",0,4,0,2,4,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,2,1,0,1,0,0,1,1,5,0,6,0,1,1,4,15,0,0,0,0,0,0,3,3,2
"ACTBP1",1,1,0,2,0,1,0,2,3,0,0,0,0,0,2,2,0,1,0,1,2,0,1,0,1,1,0,3,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
"ACTBP14",0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,2,0,0,3,1,2,0,0,2,0,0,0,1,0,0
"ACTG1P22",40,58,2,8,2,80,31,87,30,36,109,77,3,6,1,184,192,2,5,701,11,9,17,10,3,1,10,8,5,1,0,3,89,126,4,1,1,1,13,7,1,7,6,23,21,98
"ACTL8",0,0,1,0,0,1,0,0,1,2,2,0,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,2,1,0,1,2,0,1,0,1,1,3
"ACTN3",15,9,18,37,21,3,3,0,20,15,9,5,13,3,33,5,2,17,17,7,265,13,14,24,6,23,1,2,2,9,0,12,1,3,3,27,48,106,3,8,2,0,0,10,4,1
"ACY3",104,98,49,125,252,54,9,58,143,126,196,146,41,150,489,84,97,152,149,712,331,61,106,218,55,334,7,11,54,19,11,23,69,184,43,64,32,97,48,53,15,167,130,64,50,94
"ADAM23",0,0,5,37,78,65,3,51,12,7,78,84,6,2,1786,28,22,138,132,3,1229,827,1026,278,17,1363,220,203,30,68,447,112,2,1,365,2443,1768,435,194,252,487,18,14,130,114,4
"ADAM28",0,0,2,1,24,1,1,2,37,27,76,85,1,5,1,13,8,8,3,37,3,1,3,7,1,1,0,4,1,8,3,7,7,117,20,3,5,7,1,0,2,6,4,85,85,6
"ADAMDEC1",3,0,2,10,7,2,4,1,11,5,14,14,0,11,0,0,0,6,3,1,7,2,6,1,2,0,4,2,2,10,2,8,0,18,154,6,0,8,0,0,1,4,7,16,24,1
"ADAMTS10",0,0,0,0,8,1,0,7,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,1,0,0,1,0,16,1,9,0,0,0,0,7,4,5,2,1
"ADAMTS14",0,0,2,5,5,0,1,1,0,0,0,0,1,1,4,0,0,3,1,0,4,0,0,5,0,4,1,0,0,1,0,0,2,0,1,1,2,0,1,0,0,0,0,0,0,1
"ADAMTS15",0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,7,11,0
"ADAMTS16",1,0,1,2,17,12,5,11,11,8,14,11,6,11,2,0,2,7,5,35,32,2,4,9,3,1,10,13,9,53,7,60,2,22,89,11,44,2,1,1,7,7,6,13,9,8
"ADAMTS17",0,1,10,3,14,8,1,6,7,2,3,3,8,0,0,5,2,1,0,3,3,4,8,20,5,3,3,2,3,10,4,10,14,4,0,18,8,8,5,7,8,4,3,14,9,7
