"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGKV1D-13",237.48384483534,20.4576232160859,1.52858373527204,13.3833840724761,7.56242386130233e-41,1.48692377960926e-36
"ASH2LP2",5.95933708338853,25.4941887039745,3.58244349535136,7.11642451222361,1.1076279478469e-12,1.08890903552828e-08
"IGLV1-44",599.075639274188,7.95272892167652,1.23310731962907,6.4493404548671,1.12337950112959e-10,7.36262925040336e-07
"IGHV4-80",27.3407140003356,5.16821025371398,0.816607833180611,6.32887665745782,2.46952407344605e-10,1.21389455830241e-06
"IGHA2",3011.11977941398,4.82603173185788,0.804052085820837,6.00213819099929,1.94735847172334e-09,7.65779245420487e-06
"NLGN4X",12.6737209152479,5.67203709423307,0.955930138325134,5.93352679953258,2.96495576353794e-09,9.71616003711383e-06
"IGHV1-18",1123.28318788777,7.71774954941175,1.32415906394957,5.82841575421614,5.59560325691854e-09,1.57172501767903e-05
"IGLV3-10",72.1024165790904,8.24784969738573,1.42206562687878,5.79990792372116,6.63513421381213e-09,1.63075011139968e-05
"NLRP4",36.6027660006277,-3.74639008910118,0.660036198237502,-5.67603731296129,1.37850722286346e-08,3.01157877954904e-05
"IGHV3OR15-7",16.1964799803121,6.80197915865373,1.21425417844224,5.60177537735957,2.12167386288062e-08,4.17163514919588e-05
"LINC02446",18.9308346239514,5.24547285059678,0.941368528732457,5.57217783524137,2.51574421862187e-08,4.49677843877665e-05
"IGHV4-39",1737.40259368635,5.75789876954301,1.04308036081944,5.52009124687155,3.38823673787237e-08,5.55162589500388e-05
"PKD1P5",22.2345305604166,4.6249047911807,0.853885818817731,5.41630354932493,6.08437722246101e-08,9.20238653446372e-05
"ADCY1",530.829315604952,-2.18133841528624,0.408236557418446,-5.34331964065224,9.1259629137188e-08,0.000128167630578242
"AMOT",126.778230846317,3.66840194987085,0.692921340099766,5.29411022229836,1.19597285133335e-07,0.000156768121352776
"OVCH1-AS1",40.9977146970728,-4.02210866037991,0.774556655510758,-5.19278819924109,2.07167821186621e-07,0.000254583356260709
"IGHV3-13",211.280370422022,6.66840112136902,1.29067448460542,5.16660180464299,2.38388382433096e-07,0.000275717198552914
"IGLV2-14",2441.7686371189,6.20613868630791,1.20450707181572,5.15243026091373,2.5713225181903e-07,0.000280874129736987
"BMP8B",138.330417377294,-2.11218896972379,0.41119355739284,-5.13672680845504,2.79564897561918e-07,0.000289305527150655
"IGKV3-11",1587.01593607778,5.64922136555205,1.1163646626603,5.06037279260518,4.18437548199102e-07,0.000391777098699559
"RGS9",175.680597978006,-1.37767773810661,0.271902315100303,-5.06681135685952,4.045348214607e-07,0.000391777098699559
"IGKV2-30",204.944073212594,7.48457718080483,1.49786436789566,4.99683238430985,5.82796822429913e-07,0.000520861414664407
"IGHV3-73",43.7843556997112,8.2097149927275,1.65513008111438,4.96016300253572,7.04340521638506e-07,0.0006021192754981
"BTN1A1",26.9112304585011,-1.76320702520725,0.360817447002277,-4.88670112783134,1.02539570619121e-06,0.000775435783658903
"RUSC2",12.0536381880964,-2.50896951635517,0.513210515702591,-4.88877261784154,1.01466611357727e-06,0.000775435783658903
"TJP1",32.6080069199033,3.69332341123911,0.757270658989629,4.87715107854151,1.07629001215001e-06,0.000783778304403461
"IGLV1-47",200.794232669653,5.00128911816576,1.0332251888613,4.84046379441986,1.29536455486755e-06,0.000909623495635922
"IGLV7-43",314.286039358208,9.3530240165601,1.94053447261507,4.81981853378566,1.43688860803214e-06,0.00097421047624579
"LINC00200",23.4158917787435,-4.18465528612157,0.886692318576466,-4.71939950132848,2.36541870968275e-06,0.00155029542232607
"IGLV3-27",19.6709554067464,6.99307007711625,1.48457482125438,4.71048678517093,2.47125824096516e-06,0.0015674154688341
"IGHV3-53",65.6478361647289,4.27703505485502,0.915981369725443,4.6693472118729,3.02158323458061e-06,0.00185657404869762
"OVCH1",5.824423556942,-5.07543319728104,1.09030051733493,-4.65507730812342,3.23859167386861e-06,0.00190958464117865
"SCN3A",31.290577931052,3.04373698855378,0.654415869204279,4.65107454110906,3.30209936934564e-06,0.00190958464117865
"IL12RB2",367.87925399664,2.70638659150711,0.596374657833561,4.53806437942643,5.67729298177821e-06,0.0031447881788457
"OTP",22.7631304037831,2.57629617684023,0.568080656611419,4.53508871822488,5.75792770005316e-06,0.0031447881788457
"PSME2P3",6.09025561244593,4.08003121935288,0.902054887464205,4.52304097683278,6.0957433117474e-06,0.00315406592093625
"RPL10P9",176.176183651659,3.1954866291054,0.706038019852978,4.52594129388501,6.01272708661879e-06,0.00315406592093625
"IGHV5-10-1",298.52878775442,9.75289708055734,2.15927637024106,4.516743301122,6.27979552210232e-06,0.00316598306552758
"RNF130",54.6255033044822,2.59998816429036,0.583896555410982,4.45282326157983,8.47485109581237e-06,0.00416581305614657
"RORA",720.775375070099,1.61803413695187,0.366171917400306,4.41878270851395,9.92583796565187e-06,0.00476004453855237
"IGLV2-18",24.4011216414332,5.27147072032483,1.21213706264044,4.34890647501678,1.36818040182828e-05,0.00625608443273201
"GPAT2",72.4464430160044,2.94502345602807,0.680184375920568,4.32974287602865,1.49283543571954e-05,0.00646245843484217
"IGLV1-36",13.3602867603401,6.55672042472724,1.51507954198925,4.32764105316772,1.5071482510415e-05,0.00646245843484217
"LINC00689",5.070438824507,2.9238459707141,0.67596756663697,4.32542345967962,1.52239123994974e-05,0.00646245843484217
"TBX21",184.25895162539,2.13921457914735,0.498328153804111,4.29278290382979,1.76447512189624e-05,0.00708022649933142
"HLA-U",53.9511307426591,-3.20343171368236,0.747522570620344,-4.28539797938668,1.82412343806022e-05,0.0071404737498871
"NLRP11",18.5533723085853,-2.11962754103984,0.495507654405346,-4.27768879490587,1.88843777334009e-05,0.0071404737498871
"RNF152",5.0543017676687,2.83229310306081,0.661743617679184,4.28004596854898,1.86854715109383e-05,0.0071404737498871
"TMEM132D",2.38204923772959,2.31550709535406,0.542824946532016,4.2656607993927,1.99311401583127e-05,0.00739407693948575
"ZEB2",74.6803241190795,1.35805147161612,0.319009259422253,4.25709107652749,2.07104000903508e-05,0.00754088678845328
"IGLV4-69",202.40395157861,4.5642531023936,1.07629099496098,4.24072404559984,2.22799918023483e-05,0.00796489452395949
"HERC2P10",25.1974221656227,-1.99992986579389,0.474854722837714,-4.21166678903894,2.53493282226828e-05,0.00890033020561409
"IGKV6-21",27.8178253034218,6.80384010179286,1.62097798968082,4.19736735791989,2.70035718088183e-05,0.00926935353301456
"SMC1B",29.059324941891,-1.81752771310844,0.43330853847245,-4.19453472926198,2.73432257611049e-05,0.00926935353301456
"IGHV3-43",61.5134546652979,5.49031242051676,1.31077891110647,4.18858769697644,2.8069583930889e-05,0.00935430778388374
"HUNK",2.12041920946154,3.39365974710917,0.812012376841336,4.17932022207622,2.92381747228957e-05,0.00958134985669291
