"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5S_rRNA",0.886587434114045,-1.05904180663128,0.616504788849192,-1.71781602638992,0.0858301773606378,0.677247778223901
"5_8S_rRNA",0,NA,NA,NA,NA,NA
"7SK",0.0615535762535227,-0.101364688566455,3.59025218027407,-0.02823330604,0.977476073427119,NA
"A1BG",4.46801713348416,-0.146582852605422,0.315076355240547,-0.465229618685645,0.641767030236398,0.970834793439829
"A1BG-AS1",48.2089940005629,-0.000651863994081314,0.144235371565609,-0.00451944614559957,0.996394015972657,0.999093203063594
"A1CF",0.912882543058552,-0.123997090424023,0.740566991248993,-0.167435346010895,0.867027515615316,0.989059957931927
"A2M",13.4925067947451,0.569614728731222,0.420793091765408,1.353669392103,0.175841877355309,0.803788819064534
"A2M-AS1",0.541728305958498,-0.0764131381796389,0.901233256610337,-0.0847873040848928,0.932430487065082,NA
"A2ML1",0.389067857891711,0.503658588241273,1.31621605064691,0.382656470412839,0.701974493821343,NA
"A2ML1-AS1",0.0142333186433424,0.211679562304252,3.59025218027407,0.0589595247563064,0.952984346564105,NA
"A2ML1-AS2",0.048977613288395,0.401169264328946,3.59025218027407,0.111738464092604,0.911030780352262,NA
"A2MP1",0.384523838971462,-0.772361262067887,1.05535423865154,-0.731850248741842,0.464259975233427,NA
"A3GALT2",0.207301917169021,-0.0834204927454557,1.94360753687871,-0.0429204410677594,0.965764954148076,NA
"A4GALT",378.354630046297,-0.692142164310349,0.252259256958273,-2.74377310333883,0.00607375027419379,0.236948567244441
"A4GNT",0.210944772213397,-0.394807785361396,2.32772714999804,-0.169610852097389,0.865316187475126,NA
"AA06",0.0245341955708505,-0.168056622265624,3.59025218027407,-0.0468091414828678,0.962665343171823,NA
"AAAS",986.221027729904,0.0814579797863897,0.0512345600676043,1.58990298109139,0.111856675603975,0.719334930203949
"AACS",1031.10626607352,-0.0221295261601119,0.0749345747776657,-0.295317965382084,0.76775099381661,0.983078137260821
"AACSP1",0.16534270199822,-0.17216530407675,2.32843326780274,-0.0739404072504153,0.941057803492819,NA
"AADAC",0.0709171212249576,0.0585082084685179,3.59025218027407,0.0162964063610851,0.986997924470199,NA
"AADACL2",0.0933837124894504,0.579633008580542,3.59025218027407,0.161446321727822,0.871741885691582,NA
"AADACL2-AS1",0.0194880469007284,-0.112497212063351,3.59025218027407,-0.0313340697016897,0.975003120047279,NA
"AADACL3",0,NA,NA,NA,NA,NA
"AADACL4",0,NA,NA,NA,NA,NA
"AADACP1",0,NA,NA,NA,NA,NA
"AADAT",0.297578168532616,-0.450712756850618,1.15171777013594,-0.391339587299603,0.695546240914152,NA
"AAGAB",1355.79286701529,0.0663810647110115,0.0776975958551898,0.854351591968564,0.392910209169318,0.9199333131957
"AAK1",1280.53467178991,0.03960933766601,0.106083190986769,0.373379960553319,0.708865672021463,0.981074879441225
"AAMDC",30.5458866566093,-0.188916674673898,0.136412285654192,-1.384894870487,0.166084615742843,0.793323209035123
"AAMP",1583.99836331299,0.0325740657755974,0.0426271879676738,0.764161731716852,0.444770868473617,0.935342964395379
"AANAT",8.41585684706181,-0.200295003410416,0.331383097310101,-0.604421302825184,0.545563576179354,0.955836284254342
"AAR2",739.136211215823,0.0348241188730135,0.0469935859780647,0.741039828057993,0.45866929174912,0.937225890536435
"AARD",14.8042216958804,-0.611034232136567,0.544737420852338,-1.12170416194374,0.261988246376317,0.860426226632403
"AARS1",5913.59341898561,-0.0949038277488687,0.121292901444415,-0.782435135269317,0.433958891860452,0.931981605526488
"AARS1P1",0,NA,NA,NA,NA,NA
"AARS2",706.673029642712,0.0742744328586638,0.0477272354635973,1.55622742732113,0.119654021560736,0.731769011485906
"AARSD1",41.0282219206955,0.0962367769846219,0.118782014290813,0.810196539932434,0.417827225807636,0.927145186697049
"AARSD1P1",1.24019028827083,0.690183605891883,0.545478623904236,1.26528075647021,0.205770702319307,0.823327089208828
"AASDH",421.868465069145,0.0132851977787954,0.0911725231861408,0.145714929394593,0.884146435216268,0.990188457622955
"AASDHPPT",1029.45386441373,0.0382103693767995,0.0613927242176696,0.622392471806978,0.533683829388955,0.953213031484573
"AASS",122.031663053337,-0.532633691780846,0.371837721767329,-1.43243587350218,0.152019118104605,0.776363610434478
"AATBC",13.2692880422292,1.26501211777918,0.396652536585106,3.18921978583581,0.00142657369903776,0.12090212099345
"AATF",1981.47695570958,0.00717271736935247,0.0459389041010293,0.156136013901815,0.875925811477833,0.989992617106242
"AATK",2.66620380279749,1.05157236495192,0.555917236485199,1.89159877754558,0.0585444589051034,0.606769901656593
"ABALON",0.263725322390154,0.329070218136916,1.36096200409364,0.241792362422394,0.80894105725308,NA
"ABAT",184.721146145248,0.271012584736916,0.202784261641316,1.33645768435561,0.181399722724777,0.809253933654015
"ABCA1",26.3564658027796,0.572137514230668,0.375648989294677,1.52306416504652,0.127742653098197,0.743058403854471
"ABCA10",107.030401764562,0.065122740621402,0.31421343276246,0.207256386364086,0.835809633216895,0.986961484741604
"ABCA11P",14.799140745329,0.218840390266931,0.18238447228773,1.19988498758649,0.230184011139566,0.839876939973941
"ABCA12",167.207636967516,0.281718805178858,0.454389522910237,0.619994060106246,0.535261697580672,0.954009676767121
"ABCA13",7.08754252724517,-0.398722170238175,0.602138023956768,-0.662177365279297,0.507857558538417,0.949319758769074
"ABCA17P",4.34477175589576,-0.108191379605197,0.34927674899714,-0.309758321777334,0.756744748098202,0.983078137260821
"ABCA2",53.5957703170979,0.171768850661596,0.264007000585264,0.650622333047269,0.515290310187501,0.949781322634933
"ABCA3",141.123882531226,-0.0959735102538639,0.376890780577491,-0.25464541771706,0.798996976960947,0.985005856468478
"ABCA4",2.58655865163726,0.627570667334472,0.772390032830464,0.812504875334429,0.416501990219928,0.926583554781195
"ABCA5",1149.58545454418,-0.00946434410521581,0.174419704135977,-0.0542618974851457,0.956726506208625,0.995113328261628
"ABCA6",849.122621186531,0.0700615538246477,0.223058554557256,0.31409489747529,0.753448964802858,0.983078137260821
"ABCA7",895.524586439523,0.00425669965525165,0.118264616677698,0.0359930110529362,0.971287931716842,0.996973619186913
"ABCA8",0.957473730501543,0.803313324385298,0.825639179540867,0.972959307517379,0.330573526853127,0.889554081210907
"ABCA9",53.9258860965123,-0.0796869632968016,0.150397106476326,-0.529843726144726,0.596220285479121,0.962746998855879
"ABCA9-AS1",0.779715989627339,-0.415470556497527,0.761646850011761,-0.545489758791901,0.585416722199742,NA
"ABCB1",122.841591781126,0.189532384402396,0.350774159811225,0.540325959313526,0.588972258939969,0.962593348497394
"ABCB10",830.56542944168,-0.00040700219542518,0.0750583007115143,-0.0054224808124752,0.995673507480678,0.99892691870415
"ABCB10P1",0.0695150702400246,0.0104071219859719,3.59025218027407,0.00289871615235046,0.997687162374848,NA
"ABCB10P3",0.0159694264056363,0,3.59025218027407,0,1,NA
"ABCB10P4",0,NA,NA,NA,NA,NA
"ABCB11",1.51998964722495,-0.600991568302904,0.647102821510928,-0.928741999454805,0.353022809221767,0.901981553878371
"ABCB4",212.721909876522,0.219791308639996,0.197615159239029,1.11221886765348,0.266044057477833,0.860543849925863
"ABCB5",0.155776747251073,-0.172815421659838,2.79711435971659,-0.0617834666142674,0.950735270062068,NA
"ABCB6",67.4785319568079,0.25287664112288,0.176347622670595,1.43396682809405,0.151581729335941,0.776311422171538
"ABCB7",983.964466356891,-0.00585824668467431,0.0687472911589819,-0.0852142184210109,0.932091087032017,0.994967697166058
"ABCB8",566.914615948069,-0.054557216477309,0.0637464669377689,-0.85584690568921,0.392082466293229,0.919723866888269
"ABCB9",57.6220774112587,0.41388496337254,0.273474207589211,1.51343326678266,0.130169640191009,0.746412755788081
"ABCC1",2013.51671613682,0.0419315764348931,0.0881591684720186,0.475634890410769,0.634334514034241,0.968959644521298
"ABCC10",516.547031699683,-0.029939942817534,0.0736864484654407,-0.406315454755239,0.684510831257375,0.976336279425238
"ABCC11",1.25627210820176,0.332190430119509,0.570860408844949,0.581911838643088,0.560626065837796,0.958547215054877
"ABCC12",0.839958420828042,0.51952121424124,0.902969015636168,0.575347775222632,0.565056116682976,0.958807778977319
"ABCC13",0.0971084838349061,0.00240850763494282,3.59025218027407,0.000670846367889109,0.999464742080538,NA
"ABCC2",22.9662930002336,0.00688969908507767,0.254100685923248,0.0271140515030279,0.978368767402717,0.998003021723964
"ABCC3",7.52438448298328,-0.196505799467,0.750969875910037,-0.261669350223764,0.793576372363429,0.983941230484286
"ABCC4",1337.1859341585,-0.278596685152074,0.100654008282893,-2.76786478655738,0.00564248600563264,0.233232152119471
"ABCC5",368.977549324398,-0.0134827254016244,0.0686307769469256,-0.196453049220921,0.844255577841588,0.987408689071875
