"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"5S_rRNA",7.02132754647573,6.88251642249517,6.88251642249517,6.99320480521288,7.04342014818346,6.88251642249517,7.04999625546489,7.01586875958707,6.88251642249517,6.88251642249517,7.08775280172427,6.88251642249517,7.09299093066128,6.98842114981722,7.06024451447365,7.11328319123544,7.01154266507189,7.08001897663787,6.88251642249517,6.99205727042064,7.03548816429966,7.02770994019145,7.01133846323741,7.03615928266531,6.88251642249517,7.0254244185942,7.03054120406999,7.08845304027549,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.06674675139881,6.99161092150749,6.98996093350711,7.00336841381108,6.88251642249517,6.88251642249517,6.88251642249517,7.03232965149577,7.01085033621719,6.88251642249517,7.09290229498192,7.03609233859106,7.01290160221246
"AATBC",7.07874942231102,7.08139313128756,7.32010254706041,7.35019221900764,8.1031326325681,7.36359806513534,7.29161493381686,7.32323786465003,7.45370462437953,7.33503484158678,7.42281579952066,7.39009537317637,7.17990954482582,7.34229980421673,7.36726912059631,7.20852388000157,7.26857130741924,7.12431249461075,7.1973932994848,7.24495572273125,7.30018296198647,7.13378740608912,7.17019014663682,7.0706453437943,7.30897570940075,7.30985176321369,7.17817819177384,7.17350858460911,7.25781847493532,7.77837991295641,7.33298960203022,7.92812958051341,7.32927033674574,7.46160443597075,7.36822104785244,7.14539764727241,7.31674101411545,7.29475995135711,7.25137871016131,7.2760660332022,7.3049321191925,7.37728719076333,7.18571786651647,7.43623357756587,7.3661279858599,7.2504291591649
"AATK",7.02132754647573,6.88251642249517,7.17485961463484,6.88251642249517,7.1609221251761,7.12389163389163,6.88251642249517,7.18027869017235,7.08561574305141,6.88251642249517,7.13377298065844,7.02973485012266,7.14018007362608,6.98842114981722,6.88251642249517,7.01584430872047,7.06492637586565,7.02222630029508,7.02355713349501,7.03739340878975,7.09875003411434,7.02770994019145,7.13990461562557,7.09969780446446,7.12932911345143,6.88251642249517,6.88251642249517,6.88251642249517,7.17953125099381,7.32799132874594,7.03321636310788,7.39320826795584,7.28691188576041,7.03297389020179,7.10054985438054,7.09725681957213,6.88251642249517,6.99304132484168,7.08006470811182,7.00731504888788,7.14176818605835,7.01085033621719,7.01831177784575,7.27524745409393,7.03609233859106,7.14302148764388
"ABCC8",6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01586875958707,6.88251642249517,6.88251642249517,7.13377298065844,6.88251642249517,7.03141030535337,6.98842114981722,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03615928266531,6.88251642249517,6.88251642249517,6.88251642249517,7.0281973615599,6.88251642249517,7.05146325442701,6.88251642249517,6.88251642249517,7.01770717879645,7.21834331450899,6.88251642249517,7.03443083231288,6.88251642249517,6.88251642249517,6.88251642249517,7.00731504888788,7.03232965149577,6.88251642249517,6.88251642249517,7.09290229498192,6.88251642249517,6.88251642249517
"ABHD14A-ACY1",7.02132754647573,7.02319911887061,6.88251642249517,6.99320480521288,6.88251642249517,6.88251642249517,7.00097577778185,6.88251642249517,6.88251642249517,7.08555182689731,6.88251642249517,6.88251642249517,6.88251642249517,7.03225473467316,6.88251642249517,7.0710035497047,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01133846323741,6.88251642249517,6.88251642249517,7.0254244185942,6.88251642249517,6.88251642249517,6.88251642249517,7.12130719731741,7.03321636310788,7.09191188596673,6.88251642249517,6.98893001332082,6.88251642249517,6.88251642249517,6.88251642249517,7.03878406206631,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01290160221246
"ABHD17AP4",6.88251642249517,6.88251642249517,7.13580102495766,6.99320480521288,7.04342014818346,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02770159063958,7.02973485012266,7.03141030535337,6.98842114981722,6.88251642249517,6.88251642249517,7.01154266507189,6.88251642249517,6.88251642249517,7.10144063815347,7.09875003411434,6.88251642249517,7.01133846323741,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.13462951150069,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03297389020179,6.88251642249517,6.98996093350711,7.05337705125751,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01831177784575,7.03134754725511,6.88251642249517,6.88251642249517
"ABLIM3",6.88251642249517,6.88251642249517,7.02887546223115,6.88251642249517,6.88251642249517,7.02198274911663,7.21691513178196,6.88251642249517,6.88251642249517,6.88251642249517,7.29195989902705,7.02973485012266,6.88251642249517,6.98842114981722,6.88251642249517,7.83605246182456,7.88658457720438,6.88251642249517,6.88251642249517,7.94312989607653,6.99070910142868,7.02770994019145,6.88251642249517,7.12527543565635,7.02512955972127,6.88251642249517,6.88251642249517,7.08845304027549,7.07056386657249,6.88251642249517,7.0955416530648,6.88251642249517,7.15260229159067,7.76552897849313,6.88251642249517,6.88251642249517,7.09171608710464,7.03878406206631,6.88251642249517,7.00731504888788,7.09428934727395,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01290160221246
"ABO",6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99632200645322,6.88251642249517,7.14710305098049,7.11332545135371,7.02618857320042,7.08555182689731,7.13377298065844,7.09062458692405,7.03141030535337,6.88251642249517,7.06024451447365,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99205727042064,6.88251642249517,7.20663397173925,7.13990461562557,7.0706453437943,7.02512955972127,7.0254244185942,6.88251642249517,6.88251642249517,7.1127452621905,7.12130719731741,7.18350717076626,7.03064629731265,7.15260229159067,7.03297389020179,6.88251642249517,7.29731320783178,7.12400904542697,7.03878406206631,7.08006470811182,7.18773516848943,7.2486638304543,6.88251642249517,6.88251642249517,7.03134754725511,6.88251642249517,7.22678319703539
"ACCSL",6.88251642249517,7.16354876333504,6.88251642249517,7.03901508871227,7.10995102657796,7.07967494498009,7.00097577778185,6.88251642249517,6.88251642249517,7.02614332177148,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.00822886922516,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.09875003411434,7.08776459487831,7.01133846323741,6.88251642249517,7.02512955972127,6.88251642249517,6.88251642249517,7.0281973615599,7.01553307530002,7.25943602862572,6.88251642249517,7.24456763069364,6.88251642249517,6.98893001332082,6.99161092150749,7.09725681957213,7.34868044267462,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.14007166108168,7.14826744444221,7.06684626697479
"ACTBP1",7.02132754647573,7.02319911887061,6.88251642249517,7.03901508871227,6.88251642249517,7.02198274911663,6.88251642249517,7.07103809164067,7.13115888821541,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.06024451447365,7.0710035497047,6.88251642249517,7.02222630029508,6.88251642249517,6.99205727042064,7.03548816429966,6.88251642249517,7.01133846323741,6.88251642249517,7.02512955972127,7.0254244185942,6.88251642249517,7.13462951150069,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.98893001332082,6.99161092150749,6.98996093350711,6.88251642249517,6.99304132484168,7.02225867516453,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03609233859106,6.88251642249517
